,Date,Time,Location,Operator,Flight,Route,AC Type,Registration,Construction Number/Line or Fuselage Number,Aboard,Fatalities,Ground,Summary
0,"March 22, 2022",0622,"Wuzhou, Guangxi, China", 	China Eastern Airlines,MU 5735,Kunming - Guangzhou,Boeing 737-89P WL,B-1791,41474/5453,132   (passengers:123  crew:9),132   (passengers:123  crew:9),0,"Flying at 29,098 feet, the jetliner started descending in a dive until it reached 7,400 feet. It then briefly climbed to 8,600 feet and then it made a steep dive, crashing in a mountainous wooded area."
1,"May 29, 2022",1010,Near Lete Pass,Tara Air,?,Pokhara - Jomsom,de Havilland Canada DHC-6 Twin Otter 300,9N-AET,619,22   (passengers:19  crew:3),22   (passengers:19  crew:3),0,The commuter plane crashed while on a flight to a Himalayan tourist resort.
2,"July 16, 2022",2247,"Eleftheroupolis, Greece",Meridian,MEM3032,Nis- Amman,Antonov An-12,UR-CIC ,01347701,8   (passengers:0  crew:8),8   (passengers:0  crew:8),0,"The cargo plane carrying eight crew members and a load of ammunition, was bound for Amman. The crew was cruising at FL210 when they reported technical problems. Cleared to divert to Kavala Airport, the pilot made a 180 turn and started the descent. On approach to Kavala Airport at night with one engine on fire, the aircraft entered an uncontrolled descent and crashed at a speed of 200 knots in an agricultural zone located just out of the village of Eleftheroupolis, bursting into flames. The aircraft disintegrated on impact and all eight occupants were killed."
