,Date,Time,Location,Operator,Flight,Route,AC Type,Registration,Construction Number/Line or Fuselage Number,Aboard,Fatalities,Ground,Summary
0,"January 09, 2021",1440,"Near Jakarta, Indonesia",Sriwijaya Air,SJ182,Jakarta - Pontianak,Boeing 737-524,PK-CLC,27323/2616,62   (passengers:56  crew:6),62   (passengers:56  crew:6),0,"Sriwijaya Air flight 182 was climbing through 10,900 ft., 11 nm north of Jakarta-Soekarno-Hatta International Airport, over the Java Sea when radar and radio contact was lost. The aircraft then lost height rapidly and impacted the Java Sea. Debris was located near Lancang Island. It was found that a difference in the level of thrust between the planes two engines occurred."
1,"March 02, 2021",1705,"Pieri, Sudan",South Sudan Supreme Airlines ,?,Pieri - Yuai,Let L-410UVP-E,HK-4274 ,902525,10   (passengers:8  crew:2),10   (passengers:8  crew:2),0,"One of the engines on the aircraft failed 10 minutes after takeof. When the plane turned back, the second engine failed."
2,"March 28, 2021",1835,"Near Butte, Alaska",Soloy Helicopters ,?,Sightseeing Charter,Eurocopter AS350B3 Ecureuil,N351SH,4598,6   (passengers:5  crew:1),5   (passengers:4  crew:1),0,"The sightseeing helicopter crashed after missing the top of a 6,000 ft mountain by just 10 - 15 ft. The crash site was near Knik glacier. The pilot, and four others were killed including Czech billionaire Petr Kellner."
3,"May 21, 2021",1800,"Near Kaduna, Nigeria",Military - Nigerian Air Force,?,?,Beechcraft B300 King Air 350i,NAF203,FL-891,11   (passengers:7  crew:4),11   (passengers:7  crew:4),0,"While on final approach, in poor weather conditions, the aircraft crashed and burst into flames less than 10 km from Kaduna Airport. All 11 occupants were killed, incuding General Ibrahim Attahiru, Chief of Staff of the Nigerian Army."
4,"June 10, 2021",0800,"Near Pyin Oo Lwin, Myanmar",Military - Myanmar Air Force,?,Naypyidaw - Anisakan,Beechcraft 1900D,4610,E-325,14   (passengers:12  crew:2),12   (passengers:11  crew:1),0,The plane was carrying military personnel and monks when it crashed about 300 meters from a steel plant in the Mandalay region. The plane was attempting to land in poor weather conditions and broke into three pieces.
5,"July 04, 2021",11:30,"Patikul, Sulu, Philippines",Military - Philippine Air Force,?,Cagayan de Oro-Lumbia - Jolo,Lockheed C-130H Hercules,5125,5125,96   (passengers:88  crew:8),50   (passengers:?  crew:?),3,"While attempting to land at Jolo Airport, the military transport overran the runway, struck two houses and burst into flames coming to rest on a coconut plantation."
6,"July 06, 2021",1500,"Palana, Russia", 	Kamchatka Aviation Enterprise,251,Petropavlovsk - Palana,Antonov An 26B-100,	RA-26085,12310,28   (passengers:22  crew:6),28   (passengers:22  crew:6),0,The passenger plane crashed into the top of a cliff while attempting to land in inclement weather. The debris fell into the sea. Contact was lost with the plane 10 minutes before it was to land.
7,"September 12, 2021",2315,"Kazachinskoye , Russia",Aeroservice/SiLA,51,Irkutsk - Kazachinskoye ,Let L-410UVP-E20,	RA-67042,	2916,16   (passengers:14  crew:2),4   (passengers:3  crew:1),0,The aircraft was on it's second approach in heavy fog when it crashed.
8,"December 27, 2021",1914,"El Cajon, California",Med Jet,?,Santa Ana - El Cajon,Learjet 35A,N880Z,35A-591,4   (passengers:2  crew:2),4   (passengers:2  crew:2),0,"The air ambulance flight was completing a turn for its final approach to runway 27R at San Diego-Gillespie Field when it crashed into a residential area of El Cajon, San Diego, 2.5 km east of the runway threshold and burst into flames. Prior to the crash, the flight crew requested the runway lights to be turned up, to which the controller replied that ""they are at 100% now."""
